input,prediction,score
नेपाल एक [MASK] देश हो।,नेपाल एक लोकतान्त्रिक देश हो ।,0.12887407839298248
नेपाल एक [MASK] देश हो।,नेपाल एक धर्मनिरपेक्ष देश हो ।,0.11854922026395798
नेपाल एक [MASK] देश हो।,नेपाल एक स्वतन्त्र देश हो ।,0.07384738326072693
नेपाल एक [MASK] देश हो।,नेपाल एक विकासशील देश हो ।,0.05045587942004204
नेपाल एक [MASK] देश हो।,नेपाल एक सानो देश हो ।,0.0399039164185524
पोखरा पर्यटकहरूको लागि [MASK] छ।,पोखरा पर्यटक ##हरूको लागि प्रसिद्ध छ ।,0.10567444562911987
पोखरा पर्यटकहरूको लागि [MASK] छ।,पोखरा पर्यटक ##हरूको लागि खुला छ ।,0.09679824858903885
पोखरा पर्यटकहरूको लागि [MASK] छ।,पोखरा पर्यटक ##हरूको लागि उपयुक्त छ ।,0.08328200876712799
पोखरा पर्यटकहरूको लागि [MASK] छ।,पोखरा पर्यटक ##हरूको लागि आकर्षक छ ।,0.044148143380880356
पोखरा पर्यटकहरूको लागि [MASK] छ।,पोखरा पर्यटक ##हरूको लागि सुन्दर छ ।,0.042965106666088104
उनले [MASK] खाए।,उनले गोल खाए ।,0.07808995246887207
उनले [MASK] खाए।,उनले कसम खाए ।,0.0688663125038147
उनले [MASK] खाए।,उनले हार खाए ।,0.03964938968420029
उनले [MASK] खाए।,उनले औषधि खाए ।,0.03039681911468506
उनले [MASK] खाए।,उनले खाना खाए ।,0.029945403337478638
मलाई किताब पढ्न [MASK] छ।,मलाई किताब पढ्न मन छ ।,0.9317174553871155
मलाई किताब पढ्न [MASK] छ।,मलाई किताब पढ्न रुचि छ ।,0.008960606530308723
मलाई किताब पढ्न [MASK] छ।,मलाई किताब पढ्न मनप छ ।,0.00778906000778079
मलाई किताब पढ्न [MASK] छ।,मलाई किताब पढ्न सजिलो छ ।,0.004698343109339476
मलाई किताब पढ्न [MASK] छ।,मलाई किताब पढ्न गाह्रो छ ।,0.003986709285527468
विद्यालयका विद्यार्थीहरू [MASK] गर्दैछन्।,विद्यालय ##का विद्यार्थी ##हरू अध्ययन गर्दै ##छन् ।,0.12516893446445465
विद्यालयका विद्यार्थीहरू [MASK] गर्दैछन्।,विद्यालय ##का विद्यार्थी ##हरू प्रदर्शन गर्दै ##छन् ।,0.11079563945531845
विद्यालयका विद्यार्थीहरू [MASK] गर्दैछन्।,विद्यालय ##का विद्यार्थी ##हरू अभ्यास गर्दै ##छन् ।,0.0477558858692646
विद्यालयका विद्यार्थीहरू [MASK] गर्दैछन्।,विद्यालय ##का विद्यार्थी ##हरू रक्तदान गर्दै ##छन् ।,0.04754049703478813
विद्यालयका विद्यार्थीहरू [MASK] गर्दैछन्।,विद्यालय ##का विद्यार्थी ##हरू प्रार्थना गर्दै ##छन् ।,0.04590580239892006
खेलकुदले हाम्रो शरीरलाई [MASK] बनाउँछ।,खेलकुद ##ले हाम्रो शरीर ##लाई बलियो बनाउँछ ।,0.4762568473815918
खेलकुदले हाम्रो शरीरलाई [MASK] बनाउँछ।,खेलकुद ##ले हाम्रो शरीर ##लाई स्वस्थ बनाउँछ ।,0.161185622215271
खेलकुदले हाम्रो शरीरलाई [MASK] बनाउँछ।,खेलकुद ##ले हाम्रो शरीर ##लाई राम्रो बनाउँछ ।,0.04499098286032677
खेलकुदले हाम्रो शरीरलाई [MASK] बनाउँछ।,खेलकुद ##ले हाम्रो शरीर ##लाई सुदृढ बनाउँछ ।,0.029472511261701584
खेलकुदले हाम्रो शरीरलाई [MASK] बनाउँछ।,खेलकुद ##ले हाम्रो शरीर ##लाई स्वस्थ्य बनाउँछ ।,0.024975858628749847
नेपालको झण्डामा [MASK] रङ छ।,नेपालको झण्ड ##ाम ##ा कालो रङ छ ।,0.13496889173984528
नेपालको झण्डामा [MASK] रङ छ।,नेपालको झण्ड ##ाम ##ा हरियो रङ छ ।,0.12545953691005707
नेपालको झण्डामा [MASK] रङ छ।,नेपालको झण्ड ##ाम ##ा सेतो रङ छ ।,0.0615340992808342
नेपालको झण्डामा [MASK] रङ छ।,नेपालको झण्ड ##ाम ##ा रातो रङ छ ।,0.0526762381196022
नेपालको झण्डामा [MASK] रङ छ।,नेपालको झण्ड ##ाम ##ा एउटै रङ छ ।,0.05094544589519501
म यस गीतलाई [MASK] मन पराउँछु।,म यस गीत ##लाई निकै मन परा ##उँछु ।,0.4349798560142517
म यस गीतलाई [MASK] मन पराउँछु।,म यस गीत ##लाई धेरै मन परा ##उँछु ।,0.177570641040802
म यस गीतलाई [MASK] मन पराउँछु।,म यस गीत ##लाई पनि मन परा ##उँछु ।,0.10982731729745865
म यस गीतलाई [MASK] मन पराउँछु।,म यस गीत ##लाई अत्यन्त मन परा ##उँछु ।,0.05787084624171257
म यस गीतलाई [MASK] मन पराउँछु।,म यस गीत ##लाई विशेष मन परा ##उँछु ।,0.027334947139024734
यो काम गर्न [MASK] समय लाग्छ।,यो काम गर्न धेरै समय लाग्छ ।,0.2979891300201416
यो काम गर्न [MASK] समय लाग्छ।,यो काम गर्न केही समय लाग्छ ।,0.21311479806900024
यो काम गर्न [MASK] समय लाग्छ।,यो काम गर्न निकै समय लाग्छ ।,0.16611585021018982
यो काम गर्न [MASK] समय लाग्छ।,यो काम गर्न लामो समय लाग्छ ।,0.14000582695007324
यो काम गर्न [MASK] समय लाग्छ।,यो काम गर्न कति समय लाग्छ ।,0.03284713253378868
यो ठाउँमा [MASK] हरियाली छ।,यो ठाउँमा निकै हरियाली छ ।,0.24120061099529266
यो ठाउँमा [MASK] हरियाली छ।,यो ठाउँमा धेरै हरियाली छ ।,0.10502041131258011
यो ठाउँमा [MASK] हरियाली छ।,यो ठाउँमा प्रशस्त हरियाली छ ।,0.08712910115718842
यो ठाउँमा [MASK] हरियाली छ।,यो ठाउँमा पनि हरियाली छ ।,0.07135413587093353
यो ठाउँमा [MASK] हरियाली छ।,यो ठाउँमा अहिले हरियाली छ ।,0.060061682015657425
